name,street,city,state,zip,neighborhood,community_district,accepts_ebt,type,subtype,bread,bread_whole_wheat,dairy,dairy_low_fat,fish_fresh,fish_sustainably_caught,fresh_produce,fruit,greens,health_natural,herbs,juices_natural,local_food,meat_deli,meat_free_range,meat_low_fat,meat_packaged,organics,prepared_food,star_bodega,vegetables,other,surveyor,added,surveyed,latitude,longitude
Union Market,404 7th Ave,Brooklyn,NY,11215,Park Slope,6,,large,midsized market,False,False,False,False,True,,False,False,False,False,False,False,,False,True,True,False,True,False,,False,,Jeff Heehs,2010-07-20 13:18:11,2010-07-20 00:00:00,40.664745,-73.983696
Tofu Food Market,550 4th Ave,Brooklyn,NY,11215,Park Slope,6,,large,midsized market,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,Jeff Heehs,2010-07-20 13:33:43,2010-07-14 00:00:00,40.666761,-73.992047
Steve's C-Town,329 9th St,Brooklyn,NY,11215,Park Slope,6,,large,supermarket,False,False,False,False,True,,False,False,False,False,False,False,,False,False,True,False,True,False,,False,,Jeff Heehs,2010-08-12 20:11:56,2010-07-20 00:00:00,40.6688511,-73.9855804
Associated Market,212 5th Ave,Brooklyn,NY,11215,Park Slope,6,,large,supermarket,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,,Pat Konecky,2010-08-12 20:31:07,2010-08-10 00:00:00,40.676245,-73.980905
Met Food,185 7th Ave,Brooklyn,NY,11215,Park Slope,6,,large,midsized market,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,Pat Konecky,2010-08-12 20:35:30,2010-08-10 00:00:00,40.671158,-73.977668
Backto the Land,142 7th Ave,Brooklyn,NY,11215,Park Slope,6,,large,midsized market,False,False,False,False,False,,False,False,False,True,False,False,,False,True,True,False,True,False,,False,,Pat Konecky,2010-08-12 20:55:04,2010-08-10 00:00:00,40.672837,-73.976982
Key Food,130 7th Ave,Brooklyn,NY,11215,Park Slope,6,,large,supermarket,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,,Pat Konecky,2010-08-12 21:00:29,2010-08-10 00:00:00,40.673134,-73.976827
Smart 'n Healthy Market,409 5th Ave,Brooklyn,NY,11215,Park Slope,6,,large,midsized market,False,False,False,False,False,,False,False,False,True,False,False,,False,False,True,False,False,False,,False,,Pat Konecky,2010-08-12 21:14:00,2010-07-08 00:00:00,40.6701615,-73.9854574
Trader Joe's,130 Court St,Brooklyn,NY,11201,Cobble Hill,6,,large,supermarket,False,False,False,False,False,,False,False,False,False,False,False,,False,False,True,False,True,False,,False,,Jeff Heehs,2010-08-13 06:57:05,2010-08-12 00:00:00,40.6893737,-73.9925427
Good Food Super Market,431 Court St,Brooklyn,NY,11231,Carroll Gardens,6,,large,supermarket,False,False,False,False,False,,False,False,False,True,False,False,,False,False,True,False,True,False,,False,,Fiver Childrens' Foundation,2010-08-14 22:12:49,2010-07-28 00:00:00,40.6782899,-73.997527
Gourmet Fresh,437 Court St,Brooklyn,NY,11231,Carroll Gardens,6,,large,midsized market,False,False,False,False,False,,False,False,False,True,False,False,,False,True,True,False,True,False,,False,,Fiver Childrens' Foundation,2010-08-14 22:16:34,2010-07-28 00:00:00,40.67826,-73.9978518
Supermarket Independent Group,2222 Pitkin Ave,Brooklyn,NY,11207,East New York,5,,large,midsized market,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,ENY Farms,2010-08-20 21:01:03,2010-08-16 00:00:00,40.672436,-73.8904419
Junior's Food Outlets,464 New Lots Ave,Brooklyn,NY,11207,East New York,5,,large,supermarket,False,False,False,False,False,,False,False,False,False,False,False,,False,False,True,False,False,False,,False,,ENY Farms,2010-08-20 21:31:24,2010-07-15 00:00:00,40.662901,-73.890078
Associated Market,602 Livonia Ave,Brooklyn,NY,11207,East New York,5,,large,supermarket,False,False,False,False,False,,False,False,False,False,False,False,,False,False,True,False,False,False,,False,,ENY Farms,2010-08-20 21:33:30,2010-07-15 00:00:00,40.664587,-73.8949792
Associated Market,773 New Lots Ave,Brooklyn,NY,11208,East New York,5,,large,midsized market,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,ENY Farms,2010-08-20 21:39:21,2010-07-15 00:00:00,40.666868,-73.8820099
C Town Supermarket,1176 Liberty Ave,Brooklyn,NY,11208,East New York,5,,large,supermarket,False,False,False,False,False,,False,False,False,False,False,False,,False,False,True,False,False,False,,False,,ENY Farms,2010-08-21 06:48:17,2010-07-16 00:00:00,40.6788067,-73.8656703
Compare Supermarket,416 Crescent St,Brooklyn,NY,11208,East New York,5,,large,supermarket,False,False,False,False,False,,False,False,False,False,False,False,,False,False,True,False,False,False,,False,,ENY Farms,2010-08-21 06:50:33,2010-07-16 00:00:00,40.6785546,-73.8707943
Pioneer Supermarket,1115 Pennsylvania Ave,Brooklyn,NY,11207,East New York,5,,large,supermarket,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,ENY Farms,2010-08-22 06:49:35,2010-07-23 00:00:00,40.6531808,-73.886512
Pioneer Supermarket,925 Crescent St,Brooklyn,NY,11208,East New York,5,,large,supermarket,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,Jeff Heehs,2010-08-22 14:50:14,2010-08-22 00:00:00,40.6647244,-73.8673204
Key Food,367 Nostrand Ave,Brooklyn,NY,11216,Bed-Stuy,3,,large,supermarket,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,Divas,2010-08-22 15:14:18,2010-08-03 00:00:00,40.6855104,-73.950575
Pepper Mill Market,355 7th Ave,Brooklyn,NY,11215,Park Slope,6,,small,green grocer,True,True,True,True,False,,True,True,True,False,True,True,,True,False,False,True,True,True,,True,,Jeff Heehs,2010-07-20 13:12:38,2010-07-20 00:00:00,40.6659409,-73.982035
