garden_name,garden_addr,garden_comments
25th & DeHARO COMMUNITY GARDEN,Corner of 25th St. & DeHaro St,Nancy&nbsp;Adams&nbsp;-&nbsp;&nbsp;two4bike@comcast.net<br>Property Owner:  Private<br>Long waiting list&nbsp;<br>No plots available at this time. <br><a href='http://www.sfgro.org/DeHARO/default.htm' target='_blank'>Pictures!</a><br>Record last updated 03/26/10&nbsp;
ADAM ROGERS COMMUNITY GARDEN,"1220 Oakdale Ave., near Ingalls St.",Mama Sylvia&nbsp;Simmons&nbsp;-&nbsp;415-374-1587&nbsp;<br>Property Owner:  Recreation and Park Department<br><a href='http://www.sfgro.org/adamrodgers/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
ALEMANY FARM,"Entrance on Alemany Boulevard, west of Ellsworth St.","Property Owner:  Recreation and Park Department<br>No waiting list&nbsp;<br>Opportunities for gardening available.  This urban farm has no individual plots, but is managed as a collective, with garden beds cared for by a team of volunteers.
Regular workdays are the 1st and 3rd Sundays of the month and the 2nd and 4th Saturdays, Noon to 5 PM. Plus every Monday, 1 PM to 5 PM. At the end of each workday, volunteers get to take produce home.
The Farm also regularly hosts field trips and workshops and sponsors a low-income Community Supported Agriculture (CSA) program. <br><a href='http://www.alemanyfarm.org/' target='_blank'>www.alemanyfarm.org/</a><br>Record last updated 11/20/09&nbsp;"
ALEMANY RMC GARDEN,"Entrance on Ellsworth St., north of Alemany St.",Alice&nbsp;Caruthers&nbsp;-&nbsp;415-261-2705&nbsp;alicecaruthers@yahoo.com<br>Property Owner:  San Francisco Housing Authority<br>Plots available&nbsp;<br>Record last updated before 8/18/2009 &nbsp;
ALIOTO MINI PARK COMMUNITY GARDEN,Capp St. @ 20th St.,Alioto CG&nbsp;Coordinator&nbsp;-&nbsp;&nbsp;alioto.garden@yahoo.com<br>Property Owner:  Recreation and Park Department<br>Long waiting list&nbsp;<br><a href='http://www.sfgro.org/alioto/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
ALL IN COMMON COMMUNITY GARDEN,Corner of 23rd St. b/t Folsom St. & Shotwell St.,Jeanie&nbsp;&nbsp;-&nbsp;(415) 648-3222&nbsp;j@freep.org<br>Property Owner:  Private<br>Record last updated before 8/18/2009 &nbsp;
ARGONNE COMMUNITY GARDEN,b/t 15th Ave. & 16th Ave. and Fulton St. & Cabrillo St.,Sheree&nbsp;Kaslikowski&nbsp;-&nbsp;&nbsp;growgreengarden@aol.com<br>Property Owner:  San Francisco Unified School District<br>Long waiting list&nbsp;<br>There are 50 people on the waiting list with an estimated 2 years before receiving a plot.<br><a href='http://www.sfgro.org/argonne/default.htm' target='_blank'>http://www.sfgro.org/argonne/default.htm</a><br><a href='http://argonnecommunitygarden.org/' target='_blank'>http://argonnecommunitygarden.org/</a><br>Record last updated 11/04/09&nbsp;
ARKANSAS FRIENDSHIP COMMUNITY GARDEN,22nd St. b/t Arkansas St. & Connecticut St.,Suzanne&nbsp;Brunetti&nbsp;-&nbsp;415-806-0754&nbsp;suzanne.brunetti@eudoramail.com<br>Property Owner:  Department Public Works<br>Under Renovation&nbsp;<br>Record last updated before 8/18/2009 &nbsp;
ARLINGTON COMMUNITY GARDEN,Arlington St. @ Highland Ave.,"Mike&nbsp;Jacob&nbsp;-&nbsp;&nbsp;bokguey@aol.com<br>Property Owner:  Department Public Works<br>Long waiting list&nbsp;<br>Regarding waiting list, please see posting at garden gate.<br><a href='http://www.sfgro.org/arlington/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;"
BERNAL HEIGHTS COMMUNITY GARDEN,"Bernal Heights Blvd., b/t Gates & Banks",Dan&nbsp;Salkeld&nbsp;-&nbsp;&nbsp;bernalheightsgarden@gmail.com<br>Kristin&nbsp;Sherwood&nbsp;-&nbsp;&nbsp;bernalheightsgarden@gmail.com<br>Property Owner:  Recreation and Park Department<br>Long waiting list&nbsp;<br><a href='http://www.sfgro.org/Bernal/default.htm' target='_blank'>Pictures!</a><br>Record last updated 09/08/09&nbsp;
BROOKS PARK COMMUNITY GARDEN,Ramsell St. & Shields St,Peter&nbsp;Vaernet&nbsp;-&nbsp;415-586-1451&nbsp;vaernetpeter@yahoo.com<br>Property Owner:  Recreation and Park Department<br><a href='http://www.brookspark.org' target='_blank'>www.brookspark.org</a><br>Record last updated 10/23/09&nbsp;
CANDLESTICK POINT COMMUNITY GARDEN,"Carroll Ave., near Fitch St.",Lynn&nbsp;Molina&nbsp;-&nbsp;415-671-0147&nbsp;<br>Ranger&nbsp;Woody&nbsp;-&nbsp;415-671-0145&nbsp;<br>Property Owner:  California State Parks<br>Short waiting list&nbsp;<br>Record last updated before 8/18/2009 &nbsp;
CENTRAL YMCA ROOFTOP COMMUNITY GARDEN,220 Golden Gate Ave. b/t Leavenworth St. & Hyde St.,Jessica&nbsp;Berkson&nbsp;-&nbsp;415-885-0460 x290&nbsp;<br>Property Owner:  Private<br><a href='http://www.sfgro.org/YMCA/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
CLIPPER STREET COMMUNITY GARDEN,"Clipper, near Grand View",Sara&nbsp;Coe&nbsp;-&nbsp;415-648-4299&nbsp;SaraCoe256@yahoo.com<br>Property Owner:  Department Public Works<br>Short waiting list&nbsp;<br><a href='http://www.sfgro.org/clipper/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
CONNECTICUT FRIENDSHIP COMMUNITY GARDEN,22nd St. & Connecticut St.,Johanna&nbsp;Gendelman&nbsp;-&nbsp;415-285-9736&nbsp;Johanna.Gendelman@yahoo.com<br>Property Owner:  Department Public Works<br>Long waiting list&nbsp;<br>Wait time for plot is at least three years.<br>Record last updated 10/23/09&nbsp;
CORONA HEIGHTS COMMUNITY GARDEN,"States St. & Museum Way, below Randall Museum",David&nbsp;Sexton&nbsp;-&nbsp;&nbsp;coronaheightscommunitygarden@gmail.com<br>Property Owner:  Recreation and Park Department<br>No plots available&nbsp;<br><a href='http://www.sfgro.org/corona/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
CORWIN STREET COMMUNITY GARDEN,Corwin St. @ Douglass St.,Bill&nbsp;Murphy&nbsp;-&nbsp;415-626-4019&nbsp;billmurphy1959@comcast.net<br>Property Owner:  Recreation and Park Department<br>No plots available&nbsp;<br>Native plant garden.  Call contact for detail.<br><a href='http://www.sfgro.org/corwin/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
CRAGS COURT COMMUNITY GARDEN,"End of Crags St., off Berkeley Way",Leslie&nbsp;Moxley&nbsp;-&nbsp;415-824-7858&nbsp;gardenmox@yahoo.com<br>Property Owner:  Recreation and Park Department<br>No waiting list&nbsp;<br><a href='http://www.sfgro.org/crags/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
CROCKER AMAZON COMMUNITY GARDEN,Moscow St. & Geneva St.,Property Owner:  Recreation and Park Department<br>Plots Available&nbsp;<br><a href='http://www.sfgro.org/crockeramz/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
